epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,666.622,1.72827,2.38127,1.66937,0.40804,0.35979,0.34375,0.15548,1.79575,2.78254,1.83437,0.000659864,0.000659864,0.000659864
2,1400.71,1.69744,1.96558,1.63686,0.22201,0.21237,0.12672,0.03604,2.45195,4.07737,2.63927,0.00130027,0.00130027,0.00130027
3,2076.03,1.74198,1.89517,1.6752,0.36858,0.23814,0.20548,0.084,2.19681,2.77962,2.16134,0.00191427,0.00191427,0.00191427
4,2754.94,1.72961,1.83933,1.66465,0.39439,0.44043,0.37316,0.15666,1.98836,2.92888,1.98529,0.0018812,0.0018812,0.0018812
5,3506.71,1.67986,1.72736,1.63899,0.45759,0.48041,0.42033,0.15824,2.1227,2.4482,2.0495,0.0018416,0.0018416,0.0018416
6,4236.72,1.6753,1.66058,1.61764,0.4541,0.44227,0.39991,0.15402,2.05669,2.40419,2.02834,0.001802,0.001802,0.001802
7,5040.76,1.62104,1.58178,1.58345,0.53395,0.48454,0.49785,0.19446,2.01725,1.91102,1.93386,0.0017624,0.0017624,0.0017624
8,5848.86,1.64505,1.58388,1.58674,0.66363,0.51753,0.55088,0.251,1.8325,1.78097,1.79639,0.0017228,0.0017228,0.0017228
9,6648.84,1.56668,1.49008,1.52499,0.60411,0.56161,0.5489,0.25547,1.77001,2.09743,1.75314,0.0016832,0.0016832,0.0016832
10,9829.85,1.56852,1.46742,1.54169,0.66568,0.53093,0.60181,0.2654,1.93741,1.63866,1.8504,0.0016436,0.0016436,0.0016436
11,14160.4,1.56424,1.4854,1.54985,0.61405,0.62268,0.63006,0.31602,1.71005,1.65087,1.70945,0.001604,0.001604,0.001604
12,18744,1.56304,1.39423,1.52093,0.63768,0.59072,0.59377,0.29823,1.69673,1.62013,1.70136,0.0015644,0.0015644,0.0015644
13,24193.2,1.51412,1.35744,1.49112,0.63442,0.5866,0.57333,0.26968,1.76033,1.88177,1.7346,0.0015248,0.0015248,0.0015248
14,28950.4,1.51047,1.32624,1.48707,0.65781,0.63299,0.65694,0.30953,1.80565,1.50655,1.72599,0.0014852,0.0014852,0.0014852
15,33455,1.50557,1.3227,1.47875,0.59409,0.50309,0.47252,0.19926,1.88175,2.26827,1.83302,0.0014456,0.0014456,0.0014456
16,38313.6,1.47794,1.27459,1.45779,0.64813,0.60928,0.63467,0.3241,1.68989,1.62648,1.6724,0.001406,0.001406,0.001406
17,38980.6,1.4668,1.25168,1.45944,0.63362,0.583,0.59746,0.2731,1.83823,1.65307,1.7664,0.0013664,0.0013664,0.0013664
18,39702.1,1.46699,1.26291,1.45569,0.69575,0.61649,0.66695,0.35792,1.6197,1.46472,1.61181,0.0013268,0.0013268,0.0013268
19,40382.3,1.45698,1.24779,1.45637,0.64549,0.60254,0.60361,0.31132,1.6871,1.59386,1.65852,0.0012872,0.0012872,0.0012872
20,41086.3,1.4247,1.21783,1.4269,0.66636,0.64742,0.66076,0.32345,1.75142,1.48972,1.7199,0.0012476,0.0012476,0.0012476
21,41859,1.44396,1.19323,1.43685,0.66613,0.66186,0.67172,0.35029,1.61253,1.64866,1.60726,0.001208,0.001208,0.001208
22,42562.8,1.40117,1.16944,1.42327,0.59772,0.55773,0.56117,0.28493,1.72358,1.54153,1.70279,0.0011684,0.0011684,0.0011684
23,43242.1,1.39889,1.15306,1.41197,0.6618,0.63402,0.66379,0.35954,1.63951,1.35063,1.62124,0.0011288,0.0011288,0.0011288
24,43943.4,1.39341,1.13298,1.41342,0.68782,0.65361,0.69935,0.38026,1.60232,1.36607,1.59011,0.0010892,0.0010892,0.0010892
25,44642.7,1.38172,1.13514,1.40443,0.67212,0.6433,0.64942,0.31641,1.78285,1.42664,1.71848,0.0010496,0.0010496,0.0010496
26,45568.5,1.37836,1.08985,1.39255,0.70413,0.65876,0.68583,0.34031,1.6905,1.36142,1.63142,0.00101,0.00101,0.00101
27,46505.1,1.34516,1.04951,1.37636,0.72607,0.65361,0.72656,0.35761,1.74248,1.26536,1.69619,0.0009704,0.0009704,0.0009704
28,47210.6,1.32547,1.06574,1.36383,0.67485,0.66701,0.66905,0.35077,1.6001,1.47827,1.61201,0.0009308,0.0009308,0.0009308
29,48009.7,1.31889,1.03488,1.35022,0.66981,0.67759,0.69632,0.37328,1.60949,1.28992,1.59414,0.0008912,0.0008912,0.0008912
30,50341,1.30876,1.03332,1.35323,0.70761,0.66289,0.69991,0.39336,1.51272,1.3123,1.54866,0.0008516,0.0008516,0.0008516
31,51074.6,1.29782,1.02679,1.34967,0.6902,0.67732,0.69197,0.3802,1.53615,1.39153,1.56534,0.000812,0.000812,0.000812
32,51790.3,1.27711,1.00507,1.33608,0.65101,0.6866,0.7013,0.39173,1.54029,1.3741,1.57156,0.0007724,0.0007724,0.0007724
33,52868.4,1.26112,0.95782,1.32529,0.66558,0.68041,0.69845,0.38568,1.57686,1.26885,1.58288,0.0007328,0.0007328,0.0007328
34,54684,1.26093,0.953,1.31392,0.69376,0.69072,0.72346,0.41854,1.49018,1.2824,1.53149,0.0006932,0.0006932,0.0006932
35,55562.4,1.24012,0.94235,1.30913,0.74751,0.62875,0.71789,0.40161,1.55128,1.3198,1.57553,0.0006536,0.0006536,0.0006536
36,56491.5,1.24099,0.92483,1.31981,0.69153,0.68411,0.71997,0.39541,1.60472,1.26209,1.6001,0.000614,0.000614,0.000614
37,57366.1,1.19909,0.89207,1.28766,0.71782,0.674,0.7311,0.42212,1.5024,1.24646,1.55923,0.0005744,0.0005744,0.0005744
38,58037.2,1.20023,0.88005,1.27607,0.70154,0.69485,0.73247,0.42212,1.51412,1.20915,1.54753,0.0005348,0.0005348,0.0005348
39,58705.3,1.20073,0.88337,1.27975,0.74907,0.68014,0.7335,0.40996,1.57933,1.19045,1.57614,0.0004952,0.0004952,0.0004952
40,59345,1.1837,0.8713,1.28087,0.74354,0.66907,0.74339,0.40876,1.60776,1.15963,1.61731,0.0004556,0.0004556,0.0004556
41,60043.5,1.14585,0.75258,1.24691,0.69833,0.71237,0.74767,0.44048,1.46861,1.11526,1.53176,0.000416,0.000416,0.000416
42,62783.4,1.10853,0.70718,1.22565,0.74696,0.65736,0.72108,0.41177,1.53219,1.21439,1.56352,0.0003764,0.0003764,0.0003764
43,64013.1,1.07928,0.68513,1.20667,0.7263,0.70309,0.73185,0.41247,1.52006,1.17967,1.55302,0.0003368,0.0003368,0.0003368
44,66403.7,1.06612,0.67251,1.19912,0.72281,0.68283,0.74135,0.43662,1.44006,1.11833,1.51796,0.0002972,0.0002972,0.0002972
45,67328.1,1.04865,0.6497,1.1887,0.7293,0.67938,0.73109,0.4302,1.46472,1.12918,1.52434,0.0002576,0.0002576,0.0002576
46,68040.2,1.05012,0.64682,1.18171,0.74663,0.68351,0.75078,0.43189,1.51204,1.11446,1.55227,0.000218,0.000218,0.000218
47,68808.4,1.03953,0.64686,1.17565,0.70253,0.70928,0.74036,0.43119,1.48935,1.1424,1.53621,0.0001784,0.0001784,0.0001784
48,69554.2,1.01135,0.61396,1.16523,0.74462,0.70339,0.74442,0.4306,1.46389,1.13873,1.52286,0.0001388,0.0001388,0.0001388
49,70336.8,1.00937,0.60362,1.16058,0.71787,0.71134,0.7397,0.43288,1.47023,1.1285,1.53712,9.92e-05,9.92e-05,9.92e-05
50,71141.2,0.99104,0.59657,1.14972,0.75482,0.68041,0.74428,0.4379,1.45626,1.12634,1.51765,5.96e-05,5.96e-05,5.96e-05
